pair_id,pair_role,pair_type,unordered_entity_a,unordered_entity_b,label_a_to_b,label_b_to_a,student_entity,supervisor_entity,train_entity_1,train_entity_2,train_label,reverse_entity_1,reverse_entity_2,reverse_label,reverse_split
pair_000050,query,supervision_edge,entity_0046,entity_0028,1,0,entity_0046,entity_0028,entity_0046,entity_0028,1,entity_0028,entity_0046,0,test
pair_000051,demo,supervision_edge,entity_0013,entity_0027,1,0,entity_0013,entity_0027,entity_0027,entity_0013,0,entity_0013,entity_0027,1,train
pair_000052,demo,supervision_edge,entity_0050,entity_0028,1,0,entity_0050,entity_0028,entity_0028,entity_0050,0,entity_0050,entity_0028,1,train
pair_000053,demo,supervision_edge,entity_0036,entity_0027,1,0,entity_0036,entity_0027,entity_0036,entity_0027,1,entity_0027,entity_0036,0,train
pair_000054,demo,supervision_edge,entity_0044,entity_0026,1,0,entity_0044,entity_0026,entity_0026,entity_0044,0,entity_0044,entity_0026,1,train
pair_000055,query,supervision_edge,entity_0045,entity_0002,1,0,entity_0045,entity_0002,entity_0045,entity_0002,1,entity_0002,entity_0045,0,validation
pair_000056,demo,supervision_edge,entity_0049,entity_0028,1,0,entity_0049,entity_0028,entity_0049,entity_0028,1,entity_0028,entity_0049,0,train
pair_000057,query,supervision_edge,entity_0024,entity_0014,1,0,entity_0024,entity_0014,entity_0014,entity_0024,0,entity_0024,entity_0014,1,test
pair_000058,query,supervision_edge,entity_0029,entity_0014,1,0,entity_0029,entity_0014,entity_0029,entity_0014,1,entity_0014,entity_0029,0,test
pair_000059,query,supervision_edge,entity_0060,entity_0032,1,0,entity_0060,entity_0032,entity_0060,entity_0032,1,entity_0032,entity_0060,0,test
pair_000060,query,supervision_edge,entity_0019,entity_0053,1,0,entity_0019,entity_0053,entity_0019,entity_0053,1,entity_0053,entity_0019,0,validation
pair_000061,demo,supervision_edge,entity_0011,entity_0043,1,0,entity_0011,entity_0043,entity_0043,entity_0011,0,entity_0011,entity_0043,1,train
pair_000062,query,supervision_edge,entity_0012,entity_0027,1,0,entity_0012,entity_0027,entity_0027,entity_0012,0,entity_0012,entity_0027,1,test
pair_000063,demo,supervision_edge,entity_0035,entity_0053,1,0,entity_0035,entity_0053,entity_0053,entity_0035,0,entity_0035,entity_0053,1,train
pair_000064,demo,supervision_edge,entity_0040,entity_0047,1,0,entity_0040,entity_0047,entity_0040,entity_0047,1,entity_0047,entity_0040,0,train
pair_000065,demo,supervision_edge,entity_0058,entity_0002,1,0,entity_0058,entity_0002,entity_0058,entity_0002,1,entity_0002,entity_0058,0,train
pair_000066,demo,supervision_edge,entity_0003,entity_0047,1,0,entity_0003,entity_0047,entity_0047,entity_0003,0,entity_0003,entity_0047,1,train
pair_000067,demo,supervision_edge,entity_0060,entity_0002,1,0,entity_0060,entity_0002,entity_0002,entity_0060,0,entity_0060,entity_0002,1,train
pair_000068,demo,supervision_edge,entity_0003,entity_0014,1,0,entity_0003,entity_0014,entity_0014,entity_0003,0,entity_0003,entity_0014,1,train
